name,focus,desire,outside_influences,inner_dialog,challenges,insight,meditation,resolution
Flow,"Moving along. Flow like water. Be strong and swift when necessary, flexible and gentle when called for. Always head towards your goal no matter the bends in the river.","Escaping scrutiny. In your current situation, you wish to avoid conflict and not call undue attention to yourself. These are times when not making waves is in your best interest.","Making way. Very little can stand in your way at this time. Others may feel envious, but you are being swept along in a stream of optimism. ","Going with the flow. Give up your tendency to try and control every detail of your life. Move with the current, not against it.","Letting go. Do you always play it safe and follow the rules? Letting go can be difficult, frightening, and exhilarating. Take the plunge.",Trusting fate. Sometimes you are not the navigator. Allow the Universe to guide you to safe harbor. ,Floating along. Cease your relentless struggle to swim against the current. There is much to be gained from gently floating.,Accepting with grace. Follow the bends in the river. Go where you are guided. Happiness flows when resistance ends.
Forgiveness,"Healing hurts. Giving or receiving pardon for a wrong is a blessing. Forgiving does not mean accepting injustice. When you forgive, you allow yourself to put down the burden of resentment.",Making amends. You want an end to uncertainty. Make the first move to resolve this estrangement. Your words and deeds will be welcomed.,Allowing differences. Just because you are able to forgive does not mean that other people have the same capacity. Allow them their own way of coping. Forgiveness is not conditional. ,"Bearing burdens. Sometimes you may need to forgive yourself more than you need to forgive others. Carrying the weight of guilt and shame does not correct wrongs. Forgive yourself, and then make atonement for your misdeeds.","Clinging to wrongs. When you persist in hanging on to the misdeeds of others and keeping them fresh in your mind, you take up space in your life that could be used for happiness. Forgive and move on.",Keeping your perspective. Do not be drawn into other people’s squabbles. Taking sides can be unwise. The warring parties may reconcile and then resent your interference.,Forgiving. Forgiveness is as much for the forgiver as it is for the forgiven.,Starting anew. Forgiveness is a blessing. You will find that you can let go of the past and make a fresh start. You heart holds the seeds of renewal.
Friction,Increasing tension. Friction is present when opposing ideas or desires build to the point of conflict. How well are you handling the pressure?,Calming influence. You long for a calm and soothing environment. Too much stress is distracting you from your purpose. Take time out to smooth your ruffled feathers.,Sharing space. It is inevitable that someone or something will rub you the wrong way. Develop your coping skills You are not he only car on the road.,Finding balance. You are being called in too many directions. The tasks are not worth the turmoil. Ask yourself what is in it for you. This is not a selfish question. ,Taking precautions. Opposites makes sparks fly. Differences can be a good thing or a bad thing. Know the limits of your tolerance.,Balancing opposites. The right amount of friction makes beautiful music. Too much friction strikes a sour note. Finding balance keeps your life in harmony..,"Using judgement. Rub two sticks together and make fire, but do not fill the house with smoke.","Harnessing energy. Friction creates fire, music, and tension. Recognize the difference between the demands of creativity and the stress of discord."
Gifts,"Appreciating gifts. You have been given physical, spiritual, and emotional gifts. You mission is to appreciate and use them well.",Developing skills. You desire to make the most of an existing talent or develop a new skill. You are ready to do the work required.,Coming events. Wonderful new opportunities reveal themselves to you. Make the most of this favorable circumstance.,Keeping score. Embrace your gifts and be grateful. Do not compare yourself to others. Focus on your own good fortune.,Counting your blessings. It is easier to complain about what you lack than to be thankful for what you posses. Maintain a grateful attitude and see your blessing multiply.,Helping hand. You will be surprised and delighted when a benefactor or admirer of your work offers a helping hand. The doors of opportunity  are swinging wide for you.,"Realizing potential. You are like a seed, full of potential. Head for the sun.",Giving thanks. Your long cherished dream is about to be realized. Your success may surprise you. Give thanks for your gifts and for the friends that helped you along the way.
Growth,"Growing up. You were born with grand potential. Nourish your body, mind, and spirit, as you move through life. Every age has special beauty. Keep blooming.",Starting over. You imagine a better life for yourself. It is time to put those dreams into action and leave regrets behind.,Knowing your direction. Ignore the skeptics and critics. You know where you are going and that is all that really matters.,"Feeling crowded. You are feeling restricted in your current situation, like a plant in too small of a container. Stretch, grow, and transplant yourself.",Choosing growth. Get out of your rut. Growth is challenging and rewarding. You will be able to look back and be proud of how far you have come.,"Embracing your potential. Your ability to welcome change and growth will surprise you. Once you get going, nothing can stop you.",Living your potential. Live the life you are called to live. Realize your potential. ,"Getting wise. Life grows you up. Each new level of maturity sets the stage for the next growth spurt. You may not be getting taller, but you are getting wiser."
Happiness,Enjoying life. Happiness is your gift to yourself and your gift to the world.,Living in the moment. Open up to the moment and recognize that what you desire already exists within you.,Avoiding negativity. Negativity can bring you down and steal your joy. Identify the sources the undermine your happiness and learn to avoid them.,"Collecting happiness. Build a storehouse of happy memories to call on.  When you start collecting happiness, you will find it everywhere. Happiness, like laughter, is contagious.",Seeking happiness. Searching for happiness may not produce the desired results. Sometimes it is the search that trips you up. Relax and allow happiness to alight on your shoulder like a butterfly.,"Attracting joy. Happiness is your magnet for positive energy. When you lead with your passion, obstacles will move out of your way.",Allowing happiness. Be still and breathe in the happiness all around you. ,"Channeling grace. You life brings grace and happiness to the world. If you have not realized this, take another look. Be happy in your good fortune."
Harvest,Collecting your due. Put forth your best effort and reap the rewards.,Being appreciated. You set high standards for yourself. You want you efforts to be acknowledged and appreciated. You know your worth and so does the Universe.,"Holding your own. Do not give away the credit that is yours. Others will gladly take the spotlight if you let them, ",Counting chickens. “Never count your chickens before they hatch” is wise advice. You may want to keep this in mind. Perspective is important.,Taking shortcuts. You need to do work to get the results you desire. Having imagined the conclusion does not make it so. Fulfilling your intentions requires action.,Accepting graciously. You may receive an unexpected gift or opportunity. The universe is bountiful. Be thankful for your good fortune.,Following through. You reap what you sow. Sow seeds of happiness and abundance and grow a bumper crop.,Gracing the world. Your good efforts are acknowledged and your personal growth noted. Your acts of simple kindness often have the most profound impact on the world. Thank you. Enjoy the harvest.
Healing,Making whole. A difficult time is about to conclude for you. You will be given the opportunity to heal. ,"Resolving conflict. You seek closure, an end to pain and suffering. Whether it is a health issue or a relationship, you want resolution.","Shutting out negativity. You may need to shut out the pessimism that surrounds you. From bad news on TV to complaining friends, negativity takes a toll on your ability to maintain a healthy attitude.","Inviting healing. Being absorbed in negative thoughts, attitudes, and behavior does not allow your healing to begin. Tell yourself a different story, one that helps you to heal.",Creating health. Over emphasis on an illness or emotional problem can be counterproductive. What you give attention to expands. Focus on the outcome you desire.,Making a choice. Your attitude plays a very big part in your physical and spiritual well being. A new day is about to dawn. Make it sunny and bright.,Choosing openness. You are open to the healing powers of the universe. Light and energy surround you.,Changing focus. You can see light at the end of the tunnel. You dark days are nearing an end.
Innocence,Inviting a balance. You strive to look at life with fresh eyes ad be open to new ideas. Invite a balance between naîveté and cynicism so as not to be taken advantage of.,"Longing for simplicity. You crave a simpler time, place, or situation. You are looking for the facts without all the api and manipulation. You seek community of truthfulness and trust.",Lacking experience. A lack of experience may leave you in a vulnerable position. Seek advice from a trusted source before you proceed. An ounce of caution is worth a pound of cure.,Being a beginner. You were not born knowing everything. Give yourself a break ad enjoy being a beginner. Innocence is refreshing.,Having faith. Sometime you have to have the faith of a child and allow the Universe to guide you. You are never alone. ,Being sincere. Stand without judgement or preconceived notions and take good look at what is in front of you. The state of being simple and sincere changes your outlook.,Maintaining virtue. It is not naive to believe in goodness. Cynicism is the enemy.,"Simplifying life. Awaken to simple pleasures, uncomplicated interactions, and down-to-earth living. Enjoy the delights of innocence and trust."
Intention,Creating your reality. Your world starts with you. Your intentions are the blue print to the life you are creating. Be conscious of your intentions.,"Understanding intention. You wish to fully understand how intention works so you can wooly it in your life. Be certain your aim is ethical, because you will have to live with the consequences. ","Ignoring criticism. Do what you know to be right and ignore the criticism of others. As long as your heart is in the right place, criticism can be viewed as self-serving hot air.",Taking your measure. Compare what you know with how you feel and see if there is accord or contradiction. You are most creative when your thoughts and feelings are in alignment.,Motivating force. Your intentions can be for good or for evil. The challenge is to acknowledge your true motives and be accountable for the results.,Understanding motives. Your intentions and the intentions of others are revealing themselves to you. This new insight is an invaluable tool.,Revealing yourself. Dare to stand naked in the light of your own truth.,"Creating the outcome. Intentions are a powerful force, not to be confused with wishful thinking. Intentions require actions to become reality."
Intuition,"Using intuition. The choices you make are often guided by intuition. From subtle insights to direct knowledge, intuition is your ally.","Longing to know. You desire to know on a deeper level, Your head keeps arguing with your heart. Intuition is a knowing that arises from the depths of your being.",Trusting your intuition. Others may count your insights. You know the difference between “making it up” and a “gut feeling”. Do not allow yourself to be convinced otherwise.,Trusting your sixth sense. Intuition is a valuable guide on your journey through life. Listen to its whispered advice and shouted warnings. It could save your life.,Manipulating the gift. Do not pass off divisiveness as intuition. Claiming special knowledge when it suits your purposes will ultimately backfire. Be alert to this ploy in others.,"Keeping track. Quit second-guessing yourself when you know the answer. Had you kept a record of your intuitive hits and misses, you would be impressed with your success rate.",Trusting the messenger. Your intuition is a finely tuned guidance system. Use it.,"Believing. “Special knowledge holds true, bears believing “, so the song goes. Conventional wisdom is often more conventional than wise. Trust your intuition."
Journey,"Going places. Where you have been, where you are, and where you are going is the focus. Your journey may take place in the physical , emotional, or spiritual realm.",Breaking away. You have a strong desire to break out of your rut. You long for new experiences and ideas. Now is the time. Your journey can begin with a good book.,"Following your heart Continuous postponed longings become a disappointed life. Regardless of what others say, this is your life and you have to live it. Start now.","Recognizing obstacles. Are fears and doubts your travel buddies? Anxieties sometimes turn up when you are about to begin a journey. Acknowledge them, but do not allow them to paralyze you.","Traveling directions. You life journey may be shared at times, but realize that following someones else’s path is not a substitute for discovering your own direction.",Paving the way. Your road will be clearly marked and your map is accurate. Have a wonderful adventure and be sure to keep in touch.,Knowing your limits. You will not know your limits until you have tested your mettle.,Exciting times. The road ahead offers you many exciting possibilities for growth. You are ready and up to the challenge. You adventure begins.
Justice,Upholding justice. You deal with the world in a just and fair manner and expect the same in return. The resolution to a situation will require your good judgement. Integrity and foresight will be your guides.,"Seeking balance. You may have a conflict of interest or a scheduling conflict you need to sort out. You would like to be able to do it all, but you must balance your time and energy without sacrificing your principles. ",Choosing sides. You are being asked to choose sides or determine a course of action. Carefully weight the question and examine all the evidence. Do not be rushed to judgement.,Judging yourself. Are you your own worst critic? Second guessing and impossibly high standards do not make you a better person; they make you overly cautious and limit your creativity.,Being fair. You may have difficulty being unbiased in the present situation. Step back and consider if you really want to be involved. Withdrawing may be the most honorable course of action.,Weighing your options. You have a choice. Whether you choose to exercise insight or not is up to you.,Accepting reality. Justice is not always fair and fairness is not always just.,"Having faith. A fair and equitable outcome is at hand. You may not believe this to be so at first glance, but time will prove otherwise, All ends well for you."
Knowledge,"Learning. Whether through formal training or unconventional channels, you have a deep-seated love of learning. You thirst for knowledge and enlightenment.","Yearning to know. You have a curious nature and a desire to know. New people, places, and ideas intrigue you. Your life will never be dull.",Discovering resources. Your determination will open doors. There are many sources of education and guidance for you to discover. A mentor awaits you.,Stumbling blocks. Do not talk yourself out of experiences that stretch your ability. Mastery comes with practice. Remember learning to ride your bike? That is the idea.,Learning from life. Education does not take place in the classroom alone. You are a student in the school of life. Learning opportunities abound. Make the most of them.,Seeking information. You need just one ore bit of information to resolve a current situation. Keep looking; it is closer than you think. ,Questioning authority. “It is written! Where is it written? Who wrote it? You can write it yourself!” ~Edie Zimmer,"Rewarding effort. Personal growth and acquisition of new skills requires effort on your part. But, you will find there is a joy in learning that keeps your mind fresh and your heart alive."
Love,"Acknowledging love. Love is a life force. Your personal relationships are held together by love. You passions, desires, talents, and ambitions are fueled by love.","Wanting connection. You desire a close relationship where you can express and receive love and devotion. The relationship you desire can be found with an individual, a family, or even with a beloved pet.",Accepting love. Recognize that love is all around you. Open you heart and allow yourself to enjoy the many expressions of love.,Analyzing love. You may be torn between what you feel and what you think. Self-doubt can cloud your ability to be open to new experiences. Are you using indecision to sabotage a love connection?,Taking a chance. You may crave love and affection or the passion of a new adventure. What is holding you back? The disappointment of letting opportunity slip away will far outweigh your initial fear of going forward.,"Answering love. Whether it is from a person, hobby, or cause, answer the call of love.",Having love. To give love to the world you must first give love to yourself. You cannot give what you do not have.,Loving it up. Life is not a dress rehearsal. Give it all the love you have got.
Magic,Believing in wonder. Allow yourself to be inspired and led by the wonderful coincidences that are presented to you. There are no accidents.,Seeking inspiration. You want magic to touch your life. You long to be inspired or have hidden secrets revealed to you. Creativity is magic… go to it.,"Doubting your vision. Skeptics may doubt you and try to impose their mundane viewpoint. You believe what will be, they believe in what was.",Making magic. You inner child still believes in the magic of possibilities . Make magic in your life.,Fostering hope. Your challenge is to believe in spite of your doubts. Wonders do occur.,Allowing Magic. Let go of control and all magic to fill your life with wonder. ,Looking inside. You are the magic.,Expecting the unexpected. Your beliefs create your reality. Create wonders.
Moderation,Avoiding extremes. Moderation in all things goes the adage. You may experience greater peace and happiness when you avoid extremes in your personal and public life.,Controlling events. You want to keep a situation from spinning out of control. Exerting you will at all costs is not praiseworthy. Be reasonable and you will negotiate a peaceful settlement.,"Remaining cam. You may be called upon to take sides in a dispute. Although you would like to be helpful, sometimes events must run their course. The prudent thing would be to stay neutral.","Using discretion. You may be justified in your opinion. Although you would like a public airing of your grievances, discretion would be more practical at this time.",Going to extremes. Avoid swinging from one extreme to the other. The most favorable path for your to follow can be found on middle ground.,"Choosing the obvious. Sometimes the beaten path can be your best option. In your current state of affairs, going your own way may lead to isolation and unhappiness.",Guiding wisdom. “Everything in moderation. Nothing in excess.”,"Managing resolution. The outcome may not be all you hoped for. But this is a solution everyone can live with. Ultimately, you will benefit from this moderate course of action."
Mystery,Accepting the unknown. Mystery surrounds you in the spiritual realm and in your day-to-day life. Welcome mystery and make it your friend. Knowing all the answers would take the fun out of life.,Wanting to know. You crave insight into a particular situation. Be sure you are seeking the truth and not just the answer you wan to hear.,Pulling the strings. You sense that there is someone or something working behind the scene. Discover who or what you are dealing with. Do to relinquish control of the situation until you have a complete explanation.,"Demanding an answer. It may be hard for you to accept, but there is no obvious answer to your question at this time. Relax and let the answer come to you when the time is right.",Choosing your way. You will have to choose a path in life without having outside proof that you are right. Mystery enriches your life by asking that you rely on inner guidance.,Taking your time. Life is made up of many mysteries. Allowing the answers to gently unfold permits you to grow at your own pace.,"Loving the mystery. Life is a mystery to be delighted in, not solved.","Waiting for answers. When you get impatient because you do not know the answer to your question, be relieved that you at least know the question. Knowing what to ask is the first step in solving a mystery."
Nurture,"Giving and receiving. How do you give and receive in the physical, emotional, or spiritual realm? Are you in balance, overwhelmed, or overindulged?","Helping hand. You can be counted on when you are needed. When you require assistance, you accept with grace and dignity. You desire the same for the world.","Providing safety. While not exactly a knight in shining armor, you will find a champion for your cause. You will be provided safe harbor if ever you are in need.",Caring for yourself. Be as compassionate and generous with yourself as you are with others. You set a positive example when you take good care of yourself.,Allowing kindness. You may find it difficult to accept the care and kindness of others. Accepting help is not a sign of weakness. Rejecting help when you need it is foolish and hurts both you and the person extending the kindness.,Willing to help. You have an advocate. There is someone with your best interests at heart who is ready and willing to step forward if you need assistance. How wonderful.,Knowing grace. Both giving and receiving require humility.,"Adding value. You, and those you love, will benefit from your experiences of giving and receiving. You will move through the world with grace and compassion."
Origin,"Discovering source. What is your essence, your authentic self, and the source of your being? There are the questions you seek to answer.",Making peace. You yearn to return to basics and find the parts of yourself you have forgotten or ignored for too long. Make peace with your past. Do not allow resentment and regret to follow you wherever you go and spill into your current relationships.,Recognizing influences. Your past plays a significant role in your day-to-day life. Where you come from and how you feel about your origins is important. There may be a need to forgive and move forward.,Coloring the past. You may want to represent your past as other than it was. Be certain that your perception are accurate and honest. Do not deceive yourself.,"Acknowledging your roots. To reject your origin is to deny an essential pert of what made you who you are today. Sometimes, overcoming a challenging start is the very thing that makes you great. Understand that even wonderful families can have their drawbacks.",Finding answers. You are willing to follow a personal path to insight. Your source is more than your family of origin. You are a child of the Universe.,Being you. Be who you are. There is no other option.,Answering the question. You will find the answer by looking inside yourself. You and your source are one.
